species,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper
Lama guanicoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263081283,0.192396235,-0.660469501,0.102423786,NA,NA,NA,NA
Lemur catta,-0.334309799,-0.120506668,-0.338547945,0.154013467,NA,NA,NA,NA,0.113685309,0.05023374,0.411655515,-0.324318558,-0.557375663,0.192234776,-0.011403511,0.280003494,0.245511637,0.933545183,-0.319378273,0.287240985,NA,NA,NA,NA,0.392097549,-0.113415934,0.093849278,-0.51518941,-0.586514561,0.106794957,0.07609983,0.59523477
Leontopithecus chrysomelas,-0.499294051,-0.873670759,-0.121597971,-0.479747118,NA,NA,NA,NA,NA,NA,NA,NA,0.184689108,-0.147060693,0.178264839,0.216768013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,-0.221110459,-0.499596527,0.046950394,-0.215563423,NA,NA,NA,NA,NA,NA,NA,NA,0.140398505,0.045894812,0.132129206,0.299520001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptailurus serval,NA,NA,NA,NA,NA,NA,NA,NA,-0.095163919,0.232130789,-0.550198466,0.343769149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.259930289,0.175354739,-0.618257855,0.069199102,NA,NA,NA,NA
Lycaon pictus,0.34501767,0.651978934,0.081404637,0.128565509,NA,NA,NA,NA,0.162704589,0.34232613,0.585048908,0.000528426,0.017603703,0.131121345,0.263497058,0.511093876,-0.13882493,0.150756369,-0.026805841,0.148166069,NA,NA,NA,NA,0.150480334,0.442310174,0.848669797,-0.12730343,-0.448638102,0.220516796,0.171251366,0.450003389
Lynx lynx,-0.343330396,0.393702107,-1.195315263,0.355988715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347773428,0.186101492,-0.026363757,0.704788155,NA,NA,NA,NA
Lynx rufus,NA,NA,NA,NA,NA,NA,NA,NA,-0.278525807,0.229908059,-0.751606656,0.147284243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56804685,0.180259045,-0.937999464,-0.234154474,NA,NA,NA,NA
Macaca fascicularis,0.204653082,-0.319528243,-0.084565302,-0.542868921,NA,NA,NA,NA,0.257819517,0.69147369,0.223646907,0.315555171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12899321,0.214678027,-0.58650502,0.275094597,NA,NA,NA,NA
Macaca fuscata,-0.196272239,0.094035077,-1.868218433,0.18051764,NA,NA,NA,NA,0.154141171,-1.160349713,-0.547180667,-0.438603004,-0.515026091,0.342401264,-0.080344505,0.263087735,NA,NA,NA,NA,NA,NA,NA,NA,-0.379209196,-0.667263818,-0.34475192,-0.921554979,0.147080155,-0.10051048,0.279925064,0.16601305
Macaca leonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1292093,0.354547087,-0.590816281,0.793726645,NA,NA,NA,NA
Macaca mulatta,NA,NA,NA,NA,NA,NA,NA,NA,-1.008204598,0.554000687,-2.157645174,-0.046417268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.993294906,0.299194902,-1.625717774,-0.448964778,NA,NA,NA,NA
Macaca nemestrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.408391915,0.337379652,-1.104985599,0.211505764,NA,NA,NA,NA
Macaca nigra,0.108999659,0.21322825,-0.311779525,0.516960308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564038516,0.182397479,0.201308607,0.913132209,NA,NA,NA,NA
Macaca silenus,-0.113734107,0.280092291,-0.689165657,0.416295243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.093807625,0.221457709,-0.540887799,0.327515815,NA,NA,NA,NA
